,code
1447,300168
1448,600604
1449,600018
1450,000629
1451,600535
1452,002208
1453,000638
1454,600213
1455,300348
1456,002337
1457,603128
1458,600724
1459,600728
1460,600558
1461,000939
1462,300043
1463,002133
1464,000973
1465,300120
1466,300104
1467,600618
1468,603077
1469,000543
1470,300475
1471,603828
1472,600070
1473,601126
1474,601011
1475,002221
1476,000978
1477,002549
1478,300250
1479,002261
1480,000875
1481,000667
1482,600812
1483,600150
1484,600343
1485,000150
1486,002023
1487,600287
1488,600189
1489,600356
1490,300226
1491,600175
1492,600381
1493,300221
1494,600826
1495,002512
1496,002312
1497,600377
1498,000688
1499,002250
1500,300059
1501,002693
1502,600396
1503,002414
1504,002787
1505,300458
1506,002355
1507,603678
1508,002009
1509,600867
1510,600610
1511,000922
1512,000571
1513,002797
1514,002076
1515,002465
1516,603696
1517,601208
1518,300437
1519,002586
1520,600869
1521,600419
1522,300003
1523,300023
1524,000011
1525,300393
1526,002095
1527,300070
1528,300450
1529,300503
1530,300184
1531,000790
1532,600699
1533,600582
1534,300385
1535,002454
1536,600187
1537,300048
1538,002278
1539,300205
1540,600149
1541,002702
1542,603616
1543,600222
1544,600109
1545,603968
1546,002836
1547,002069
1548,600129
1549,000886
1550,600585
1551,002174
1552,600662
1553,002192
1554,002420
1555,000601
1556,600157
1557,002284
1558,002538
1559,000838
1560,600804
1561,600589
1562,600118
1563,300217
1564,300041
1565,002381
1566,002532
1567,000961
1568,000510
1569,000890
1570,002539
1571,000062
1572,300263
1573,300369
1574,002723
1575,002164
1576,002017
1577,600886
1578,600008
1579,002467
1580,300055
1581,002274
1582,002466
1583,600200
1584,300067
1585,600868
1586,002149
1587,300272
1588,002422
1589,300416
1590,600131
1591,002290
1592,600185
1593,002002
1594,600663
1595,002627
1596,002460
1597,600960
1598,300384
1599,002126
1600,002753
1601,600299
1602,600895
1603,600101
1604,000006
1605,600739
1606,600780
1607,002073
1608,600990
1609,603999
1610,300466
1611,600982
1612,600877
1613,002248
1614,600650
1615,002206
1616,002391
1617,002345
1618,002018
1619,600438
1620,600312
1621,600240
1622,002222
1623,000511
1624,002303
1625,601179
1626,002680
1627,300118
1628,300016
1629,000505
1630,002314
1631,603368
1632,300558
1633,300532
1634,000099
1635,601398
1636,600256
1637,603686
1638,600958
1639,002494
1640,600775
1641,600642
1642,600098
1643,300261
1644,600373
1645,603993
1646,002487
1647,600800
1648,000812
1649,600959
1650,000901
1651,002384
1652,000657
1653,000055
1654,600252
1655,300236
1656,002421
1657,000411
1658,600198
1659,601377
1660,300228
1661,600367
1662,300328
1663,600084
1664,000902
1665,000166
1666,300353
1667,002776
1668,300054
1669,600420
1670,600050
1671,300092
1672,600806
1673,000936
1674,600275
1675,002053
1676,000908
1677,600303
1678,000727
1679,600372
1680,002254
1681,002036
1682,002297
1683,300460
1684,603002
1685,002513
1686,600754
1687,300269
1688,600170
1689,000930
1690,603789
1691,600866
1692,600540
1693,000720
1694,600125
1695,300383
1696,000700
1697,600353
1698,002689
1699,300153
1700,601789
1701,000523
1702,600383
1703,600981
1704,002590
1705,300197
1706,603869
1707,600531
1708,300360
1709,002637
1710,000825
1711,300108
1712,002382
1713,600864
1714,300181
1715,002772
1716,600458
1717,600369
1718,000566
1719,603020
1720,603588
1721,600379
1722,600293
1723,000998
1724,300202
1725,600638
1726,300496
1727,600978
1728,002493
1729,002448
1730,000421
1731,002183
1732,002196
1733,300110
1734,601369
1735,300007
1736,300489
1737,300071
1738,300389
1739,600111
1740,600498
1741,300505
1742,601985
1743,603306
1744,600623
1745,300170
1746,000570
1747,300289
1748,000877
1749,002491
1750,002489
1751,300155
1752,603699
1753,002021
1754,300334
1755,600537
1756,002325
1757,600746
1758,300146
1759,000920
1760,002243
1761,300097
1762,002239
1763,002251
1764,300199
1765,002005
1766,000788
1767,002116
1768,002545
1769,603883
1770,000970
1771,601989
1772,002406
1773,300468
1774,600871
1775,000545
1776,300365
1777,600653
1778,002755
1779,002569
1780,000918
1781,002471
1782,002220
1783,600499
1784,600054
1785,000768
1786,002188
1787,000565
1788,002727
1789,600843
1790,300072
1791,002191
1792,600257
1793,603067
1794,603567
1795,002276
1796,002743
1797,000564
1798,000783
1799,000031
1800,002358
1801,600872
1802,600398
1803,603031
1804,000969
1805,300287
1806,002432
1807,000078
1808,002264
1809,000713
1810,603222
1811,600816
1812,002286
1813,000008
1814,000988
1815,601198
1816,000400
1817,002568
1818,000911
1819,600208
1820,002139
1821,300173
1822,002661
1823,000037
1824,601558
1825,002170
1826,002631
1827,000606
1828,002741
1829,002189
1830,002056
1831,000702
1832,600785
1833,300436
1834,000731
1835,300167
1836,300433
1837,600695
1838,600272
1839,002751
1840,300001
1841,600273
1842,000407
1843,002272
1844,002496
1845,300316
1846,600418
1847,601515
1848,600584
1849,600408
1850,002224
1851,601021
1852,002107
1853,002649
1854,600891
1855,600463
1856,600518
1857,002830
1858,300037
1859,002698
1860,300222
1861,600186
1862,002506
1863,600011
1864,300057
1865,000025
1866,000862
1867,002424
1868,002268
1869,600970
1870,300434
1871,300220
1872,002293
1873,002338
1874,300273
1875,600279
1876,002486
1877,601333
1878,600885
1879,300267
1880,002442
1881,002169
1882,600512
1883,000517
1884,002026
1885,600403
1886,300126
1887,600133
1888,002446
1889,000752
1890,002040
1891,300005
1892,600707
1893,002502
1894,601177
1895,600521
1896,300329
1897,002193
1898,000002
1899,600841
1900,300032
1901,002701
1902,002090
1903,600674
1904,600648
1905,600555
1906,002718
1907,600756
1908,600523
1909,300002
1910,600644
1911,603618
1912,000949
1913,000046
1914,002484
1915,002835
1916,603336
1917,002479
1918,000005
1919,002031
1920,002550
1921,600421
1922,600478
1923,300326
1924,002461
1925,300196
1926,300015
1927,300429
1928,600712
1929,300079
1930,603515
1931,002405
1932,300127
1933,300397
1934,002024
1935,002088
1936,600667
1937,002596
1938,002185
1939,600165
1940,000612
1941,002124
1942,600737
1943,600851
1944,600691
1945,002759
1946,601877
1947,002283
1948,000416
1949,300036
1950,300144
1951,600666
1952,600106
1953,600278
1954,600094
1955,000632
1956,000559
1957,002498
1958,002559
1959,600995
1960,002074
1961,603199
1962,300238
1963,000582
1964,002706
1965,300180
1966,002458
1967,002159
1968,600580
1969,002482
1970,603090
1971,600480
1972,002665
1973,600072
1974,600546
1975,002289
1976,002373
1977,600351
1978,300174
1979,300080
1980,600390
1981,600870
1982,600426
1983,000610
1984,600579
1985,002657
1986,600310
1987,002364
1988,300128
1989,002096
1990,600568
1991,002267
1992,603030
1993,002001
1994,002477
1995,300203
1996,002402
1997,600493
1998,002305
1999,300442
2000,000533
2001,603012
2002,000932
2003,002328
2004,600532
2005,000639
2006,300444
2007,002757
2008,600110
2009,600630
2010,600391
2011,603861
2012,000968
2013,600305
2014,603703
2015,600321
2016,002037
2017,601689
2018,002537
2019,600209
2020,600232
2021,600313
2022,603099
2023,002339
2024,000557
2025,002044
2026,300507
2027,000692
2028,002503
2029,000972
2030,600271
2031,300248
2032,000010
2033,002166
2034,000967
2035,603025
2036,000035
2037,600031
2038,600715
2039,000836
2040,002739
2041,600844
2042,600259
2043,300431
2044,300038
2045,002249
2046,300370
2047,000518
2048,300200
2049,002331
2050,300590
2051,600260
2052,601599
2053,002606
2054,002730
2055,300502
2056,300275
2057,300425
2058,300332
2059,600510
2060,002760
2061,300164
2062,603333
2063,002447
2064,600315
2065,300251
2066,002010
2067,300337
2068,002006
2069,300191
2070,002151
2071,002781
2072,603011
2073,603885
2074,600641
2075,300297
2076,600262
2077,600561
2078,600884
2079,600171
2080,300091
2081,600603
2082,603322
2083,002326
2084,600837
2085,300208
2086,300336
2087,600771
2088,600721
2089,002580
2090,002522
2091,002412
2092,000014
2093,000526
2094,002319
2095,300143
2096,300423
2097,603377
2098,603986
2099,603558
2100,603555
2101,603528
2102,603399
2103,603366
2104,603339
2105,603299
2106,603223
2107,603169
2108,603117
2109,603111
2110,603108
2111,603010
2112,603007
2113,603005
2114,601901
2115,601881
2116,601727
2117,601700
2118,601288
2119,601168
2120,601127
2121,601113
2122,601107
2123,601100
2124,601028
2125,601005
2126,600998
2127,600979
2128,600973
2129,600892
2130,600890
2131,600876
2132,600875
2133,600859
2134,600855
2135,600848
2136,600834
2137,600807
2138,600768
2139,600753
2140,600747
2141,600736
2142,600735
2143,600734
2144,600733
2145,600725
2146,600696
2147,600681
2148,600678
2149,600673
2150,600664
2151,600657
2152,600655
2153,600654
2154,600649
2155,600645
2156,600636
2157,600633
2158,600602
2159,600590
2160,600577
2161,600559
2162,600556
2163,600551
2164,600543
2165,600538
2166,600488
2167,600485
2168,600469
2169,600432
2170,600415
2171,600406
2172,600400
2173,600387
2174,600359
2175,600358
2176,600346
2177,600290
2178,600282
2179,600242
2180,600239
2181,600225
2182,600212
2183,600173
2184,600161
2185,600152
2186,600151
2187,600146
2188,600145
2189,600143
2190,600136
2191,600019
2192,300535
2193,300526
2194,300518
2195,300513
2196,300490
2197,300486
2198,300479
2199,300469
2200,300467
2201,300462
2202,300449
2203,300440
2204,300428
2205,300420
2206,300418
2207,300392
2208,300367
2209,300364
2210,300319
2211,300315
2212,300309
2213,300276
2214,300271
2215,300268
2216,300266
2217,300225
2218,300224
2219,300223
2220,300212
2221,300209
2222,300201
2223,300189
2224,300150
2225,300149
2226,300148
2227,300134
2228,300089
2229,300088
2230,300076
2231,300068
2232,300065
2233,300051
2234,300046
2235,300045
2236,300028
2237,300021
2238,300017
2239,002816
2240,002813
2241,002812
2242,002806
2243,002803
2244,002798
2245,002795
2246,002777
2247,002771
2248,002761
2249,002747
2250,002745
2251,002740
2252,002735
2253,002724
2254,002696
2255,002694
2256,002685
2257,002681
2258,002676
2259,002675
2260,002670
2261,002664
2262,002660
2263,002652
2264,002638
2265,002624
2266,002584
2267,002579
2268,002578
2269,002576
2270,002575
2271,002571
2272,002555
2273,002547
2274,002544
2275,002526
2276,002509
2277,002492
2278,002464
2279,002443
2280,002441
2281,002426
2282,002411
2283,002407
2284,002400
2285,002396
2286,002390
2287,002383
2288,002379
2289,002347
2290,002335
2291,002333
2292,002316
2293,002306
2294,002299
2295,002282
2296,002260
2297,002256
2298,002226
2299,002198
2300,002168
2301,002162
2302,002157
2303,002145
2304,002141
2305,002134
2306,002132
2307,002129
2308,002115
2309,002113
2310,002082
2311,002075
2312,002061
2313,002049
2314,002042
2315,002030
2316,002025
2317,002004
2318,000982
2319,000981
2320,000979
2321,000976
2322,000952
2323,000950
2324,000935
2325,000926
2326,000925
2327,000916
2328,000912
2329,000903
2330,000892
2331,000829
2332,000821
2333,000803
2334,000795
2335,000735
2336,000725
2337,000723
2338,000716
2339,000711
2340,000697
2341,000693
2342,000690
2343,000682
2344,000673
2345,000670
2346,000663
2347,000635
2348,000633
2349,000613
2350,000586
2351,000584
2352,000563
2353,000560
2354,000558
2355,000534
2356,000516
2357,000509
2358,000413
2359,000153
2360,000050
2361,000048
2362,000042
2363,000029
2364,000017
2365,000007
2366,603032
2367,603319
2368,600456
2369,002425
2370,300061
2371,300406
2372,300279
2373,300374
2374,300368
2375,600689
2376,002341
2377,300322
2378,002387
2379,000948
2380,002611
2381,600435
2382,603600
2383,600701
2384,300522
2385,600687
2386,002445
2387,603318
2388,002357
2389,600643
2390,603158
2391,603309
2392,002240
2393,002155
2394,600405
2395,002195
2396,002108
2397,002119
2398,002418
2399,300487
2400,300324
2401,600860
2402,600570
2403,000755
2404,000503
2405,002640
2406,300318
2407,002609
2408,300523
2409,002653
2410,300351
2411,000408
2412,600976
2413,002349
2414,002281
2415,600686
2416,300310
2417,002488
2418,000856
2419,603311
2420,601519
2421,300278
2422,002065
2423,002536
2424,002551
2425,000590
2426,300098
2427,600489
2428,300040
2429,002148
2430,300087
2431,300145
2432,300320
2433,002370
2434,000656
2435,300355
2436,002456
2437,600397
2438,300350
2439,000158
2440,601099
2441,000555
2442,002102
2443,002089
2444,300344
2445,002733
2446,300138
2447,002117
2448,002180
2449,600446
2450,600360
2451,600091
2452,600267
2453,002121
2454,600392
2455,300519
2456,002114
2457,600992
2458,601311
2459,300302
2460,002746
2461,002292
2462,002109
2463,600328
2464,300239
2465,002768
2466,300033
2467,300219
2468,603300
2469,002214
2470,600238
2471,300409
2472,002371
2473,600883
2474,300339
2475,002635
2476,300457
2477,600311
2478,002450
2479,300258
2480,002122
2481,002622
2482,300533
2483,002062
2484,603116
2485,600382
2486,600547
2487,600291
2488,300285
2489,300025
2490,000678
2491,000040
2492,300474
2493,000806
2494,600893
2495,300296
2496,603029
